project_gid,name,phase,n_completed,span_days,bulk_completion_frac,project_reliable,first_completed,last_completed
1208255134985064,ODL Podcast,QA & Launch,10,43.105,0.3,True,2024-09-19T13:17:44.154000+00:00,2024-11-01T15:49:05.104000+00:00
1211489930659695,MS-ACMS Faculty Videos,Evaluation,4,6.494,0.5,True,2025-12-08T14:29:21.553000+00:00,2025-12-15T02:20:35.512000+00:00
1211489930659695,MS-ACMS Faculty Videos,Other,4,0.434,0.5,True,2025-12-08T04:11:16.827000+00:00,2025-12-08T14:36:35.916000+00:00
1211489930659695,MS-ACMS Faculty Videos,Post-Production,6,23.85,0.3333,True,2025-11-14T18:05:56.799000+00:00,2025-12-08T14:29:18.291000+00:00
1211489930659695,MS-ACMS Faculty Videos,Pre-Production,7,51.596,0.4286,True,2025-10-17T13:52:42.998000+00:00,2025-12-08T04:11:29.005000+00:00
1206434839973092,Project Requests & Intake,Other,24,26.802,0.3333,True,2024-01-30T20:42:18.970000+00:00,2024-02-26T15:57:34.652000+00:00
1209877147787619,Study Abroad,Other,4,19.935,0.5,True,2025-07-25T20:18:10.865000+00:00,2025-08-14T18:44:30.385000+00:00
1210202036254727,Sprint 2025: AI Tutor--Critical Thinking,Discovery,3,34.968,0.3333,True,2025-05-14T00:38:06.654000+00:00,2025-06-17T23:51:19.506000+00:00
1210202036254727,Sprint 2025: AI Tutor--Critical Thinking,Evaluation,4,99.149,0.5,True,2025-08-21T11:19:48.949000+00:00,2025-11-28T14:53:47.478000+00:00
1210202036254791,Sprint 2025: Transforming FIN / MSBR Course,Discovery,3,32.42,0.3333,True,2025-05-16T13:45:52.974000+00:00,2025-06-17T23:51:02.783000+00:00
1210202036254791,Sprint 2025: Transforming FIN / MSBR Course,Evaluation,4,99.149,0.5,True,2025-08-21T11:19:29.814000+00:00,2025-11-28T14:53:29.783000+00:00
1207967599155608,Online Pedagogy Course,Discovery,5,41.656,0.4,True,2024-08-02T22:14:53.557000+00:00,2024-09-13T13:59:54.325000+00:00
1207967599155608,Online Pedagogy Course,Production,6,60.038,0.1667,True,2024-12-06T14:59:44.998000+00:00,2025-02-04T15:54:06.841000+00:00
1209100108497907,ODL Intake,Discovery,4,169.062,0.25,True,2025-02-11T18:02:42.564000+00:00,2025-07-30T19:32:35.957000+00:00
1209100108497907,ODL Intake,Other,16,443.025,0.1875,True,2025-02-24T19:09:00.047000+00:00,2026-05-13T19:45:20.642000+00:00
1208622917750063,ACE Assessment Course Redesign,Post-Production,11,51.035,0.3636,True,2025-02-25T19:46:56.485000+00:00,2025-04-17T20:36:53.034000+00:00
1208622917750063,ACE Assessment Course Redesign,Production,4,7.15,0.5,True,2025-02-18T16:10:35.297000+00:00,2025-02-25T19:46:13.958000+00:00
1208335647365619,Virtual Borders,Pre-Production,3,10.131,0.3333,True,2025-02-10T18:00:52.129000+00:00,2025-02-20T21:09:55.485000+00:00
1207472351598359,Sprint: Data Visual Insights(Erlacher),Discovery,7,139.105,0.4286,True,2024-08-22T17:57:05.789000+00:00,2025-01-08T20:28:03.782000+00:00
1207472351598359,Sprint: Data Visual Insights(Erlacher),Production,3,125.107,0.3333,True,2024-08-09T14:09:42.947000+00:00,2024-12-12T16:43:29.257000+00:00
1207907772727914,ND Elevate Updates,Production,10,102.173,0.3,True,2024-11-04T17:02:55.424000+00:00,2025-02-14T21:12:23.410000+00:00
1210951195644528,LD Projects,Other,18,166.924,0.0556,True,2025-08-01T17:32:41.248000+00:00,2026-01-15T15:42:39.087000+00:00
1211134268245785,ACE Higher Powered Learning (HPL),Design,8,45.38,0.5,True,2025-10-30T18:03:38.303000+00:00,2025-12-15T03:11:09.978000+00:00
1211134268245785,ACE Higher Powered Learning (HPL),Pre-Production,4,38.421,0.5,True,2025-10-30T18:03:45.164000+00:00,2025-12-08T04:10:00.368000+00:00
1209417474929053,Business on the Frontlines XR,Other,7,62.969,0.2857,True,2025-03-03T14:18:52.432000+00:00,2025-05-05T13:34:25.851000+00:00
1209417474929053,Business on the Frontlines XR,Pre-Production,5,6.997,0.2,True,2025-02-24T14:15:07.126000+00:00,2025-03-03T14:10:10.078000+00:00
1207678003764211,Tim Hubbard XR Development (Summer 2024),Other,17,40.926,0.1765,True,2024-07-02T14:54:08.231000+00:00,2024-08-12T13:07:49.149000+00:00
1209897970646083,Multimedia Writing and Rhetoric,Post-Production,8,15.816,0.5,True,2025-06-11T15:47:40.922000+00:00,2025-06-27T11:22:54.594000+00:00
1209103283248265,Lawrence Time and Capacity Tracking Part 2 January 13 - 17,Other,13,0.002,0.4615,False,2025-02-23T18:55:07.661000+00:00,2025-02-23T18:58:03.730000+00:00
1207760971753765,XR Spanish Escape Room,Other,9,146.643,0.2222,True,2024-07-15T14:07:20.594000+00:00,2024-12-09T05:33:19.504000+00:00
1207472349552365,Sprint: Parent Empowerment (Boothby),Design,9,156.234,0.3333,True,2024-06-03T15:33:50.425000+00:00,2024-11-06T21:10:25.809000+00:00
1207817115500019,Equity XR,Post-Production,9,95.205,0.3333,True,2024-10-07T14:01:32.702000+00:00,2025-01-10T18:56:20.787000+00:00
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,Design,7,30.705,0.4286,True,2025-07-11T20:13:52.870000+00:00,2025-08-11T13:08:25.893000+00:00
1209140307416568,Detailed Time Tracking,Other,12,3.088,0.1667,True,2025-01-16T13:33:56.992000+00:00,2025-01-19T15:40:49.866000+00:00
1207760971753624,Program for Inclusive Education (PIE) Videos,Production,11,64.72,0.4545,True,2024-08-19T20:24:43.866000+00:00,2024-10-23T13:41:36.860000+00:00
1207817115500023,Innovation and Design Thinking XR,Other,3,50.593,0.3333,True,2024-08-14T23:21:26.008000+00:00,2024-10-04T13:35:16.429000+00:00
1207817115500023,Innovation and Design Thinking XR,Post-Production,9,45.982,0.1111,True,2024-08-22T18:05:06.425000+00:00,2024-10-07T17:38:34+00:00
1207473416887601,Sprint: Interactive (Elena),Design,3,85.059,0.3333,True,2024-06-03T16:52:36.027000+00:00,2024-08-27T18:16:56.059000+00:00
1207473416887601,Sprint: Interactive (Elena),Development/Build,4,60.086,0.5,True,2024-06-28T16:13:35.089000+00:00,2024-08-27T18:16:59.030000+00:00
1207473416887601,Sprint: Interactive (Elena),Discovery,4,17.269,0.25,True,2024-08-22T19:29:03.919000+00:00,2024-09-09T01:56:37.351000+00:00
1207760971753758,Consultations,Development/Build,3,8.436,0.3333,True,2024-07-26T15:21:32.535000+00:00,2024-08-04T01:49:51.005000+00:00
1207760971753758,Consultations,Other,7,65.18,0.2857,True,2024-07-15T14:30:48.921000+00:00,2024-09-18T18:49:19.757000+00:00
1207760971753716,FCTA - Physics I,Pre-Production,4,71.007,0.5,True,2025-08-28T17:16:50.375000+00:00,2025-11-07T17:27:02.345000+00:00
1206407681046274,Summer Online 2024,Other,9,96.077,0.3333,True,2024-01-24T16:26:17.525000+00:00,2024-04-29T18:16:58.040000+00:00
1209417479528380,Videos for Eva,Post-Production,6,88.939,0.3333,True,2025-02-19T19:26:06.945000+00:00,2025-05-19T17:58:08.497000+00:00
1209417479528380,Videos for Eva,Production,3,79.159,0.3333,True,2025-02-17T15:23:37.598000+00:00,2025-05-07T19:12:24.014000+00:00
1208255134985069,Travel Safety 101,Other,8,120.081,0.5,True,2024-11-05T17:45:00.782000+00:00,2025-03-05T19:41:02.463000+00:00
1209243150458283,XR for Law - Car Crash,Other,3,56.95,0.3333,False,2025-01-27T14:49:43.759000+00:00,2025-03-25T13:37:53.208000+00:00
1207906802350226,FA Faculty Workshop Series,Development/Build,4,62.997,0.25,True,2024-09-06T17:50:57.075000+00:00,2024-11-08T17:46:59.818000+00:00
1207942229848234,Digital Learning Task Force,Evaluation,6,69.995,0.1667,True,2024-09-06T13:50:01.378000+00:00,2024-11-15T13:42:18.964000+00:00
1208470191495746,Vicki Testimonial,Post-Production,7,35.19,0.2857,True,2024-10-11T13:08:57.529000+00:00,2024-11-15T17:42:37.622000+00:00
1209103142080500,Lawrence Time and Capacity Tracking Part 1,Other,6,5.073,0.3333,True,2025-01-14T13:52:28.690000+00:00,2025-01-19T15:38:08.135000+00:00
1208255134985014,AI R&D Project (Online Pedagogy used as the baseline),Other,6,90.07,0.5,True,2024-10-10T18:49:03.964000+00:00,2025-01-08T20:29:54.033000+00:00
1206594949252410,2024 Projects,Other,5,45.049,0.4,True,2024-05-13T18:12:44.452000+00:00,2024-06-27T19:23:56.063000+00:00
1208031566113859,FCTA - Calculus I,Discovery,4,308.021,0.25,True,2024-09-06T13:51:31.880000+00:00,2025-07-11T14:22:16.849000+00:00
1208255134985033,AR Math Visualizer (Summer 2025 Pilot),Other,4,492.572,0.5,False,2024-09-09T02:16:52.081000+00:00,2026-01-14T16:01:09.319000+00:00
1211494942386612,"Evaluation of Pangram, AI Detector",Other,4,6.748,0.25,False,2025-09-22T19:11:16.088000+00:00,2025-09-29T13:07:48.026000+00:00
1211499735967336,Training TAs on how to use Google Gemini to assist their grading.,Other,4,6.731,0.25,False,2025-09-22T22:39:29.734000+00:00,2025-09-29T16:12:34.943000+00:00
1208659811898209,Ascent PDF Graphic,Other,4,2.294,0.5,False,2024-11-04T13:58:03.794000+00:00,2024-11-06T21:01:02.955000+00:00
1208659811898324,ODL Lookbook,Other,4,180.967,0.25,False,2024-11-15T15:30:13.009000+00:00,2025-05-15T14:43:08.312000+00:00
