name,gid,archetype,logged_hours,n_videos,n_entries,span_weeks,span_reliable,coverage
AI for the Notre Dame Community,1209298164735103,full_course,448.7,,427,41.691,True,full
Responsible and Ethical AI,1208963580488220,full_course,278.63,,495,50.096,True,full
ASCEND Engineering,1209213189516073,full_course,102.92,,207,63.572,True,full
Radio Systems Course,1209679644127773,full_course,100.76,,272,40.601,True,full
Virtual Borders,1208335647365619,full_course,78.75,,17,18.321,True,full
The Qur’an and the Bible (Gabriel Reynolds),1208255134984932,full_course,74.58,,116,36.961,True,full
MSAN II,1208335647365608,full_course,71.08,,39,42.014,True,full
Radio Systems MVP,1208981515547171,video_series,64.16,4,64,5.438,True,full
ASCEND MCOB,1212343204566399,full_course,62.0,,42,25.963,True,full
Sprint 2025 - Digital Accessibility - Whitney James,1210225716846536,full_course,49.25,,12,10.337,True,full
National Education Opportunities Network (NEON),1207942229848224,other,46.24,,100,69.687,True,full
Business for Humans | Sheedy Family Program,1211653962736510,full_course,38.75,,30,11.418,False,full
FCTA - Physics I,1207760971753716,full_course,38.67,,19,19.424,True,full
3D Environments Summer Online,1208878713359040,full_course,35.17,,100,49.713,True,full
ACE Assessment Course Redesign,1208622917750063,course_redesign,33.42,,22,10.321,True,full
ND Elevate Updates,1207907772727914,course_redesign,32.33,,19,23.349,True,full
Videos for Eva,1209417479528380,single_video,29.25,4,10,13.015,True,full
Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,1210225716846542,full_course,19.5,,6,11.999,True,full
NEON - POLS 30022 (Poly Sci),1213292120696339,full_course,18.5,,18,0.0,False,full
C2D: Cybertraining for Chemical Data scientists,1211900372320318,full_course,16.5,,13,7.874,False,full
Calc I Summer Online,1208878713359035,full_course,15.83,,61,24.403,True,full
Travel Safety 101,1208255134985069,full_course,15.75,,17,17.154,True,full
Program for Inclusive Education (PIE) Video #2,1208875960377620,single_video,15.5,1,9,3.86,False,full
Ultrasound Communication Video,1212638027964018,single_video,13.5,1,15,4.573,False,full
Borgo Laudato Si' videos,1212627165986472,single_video,12.0,1,8,5.288,True,full
