project_gid,project_name,canonical_phase,n_tasks,n_completed,n_assignees,first_completed,last_completed,span_days,tracked_minutes,tracked_hours,total_subtasks,n_activity,n_comments,bulk_created_fraction
1207375113405523,(Umich) Asset Spreadsheet Example,Untitled section,43,0,0,,,,0.0,0.0,4,0,0,0.02
1206594949252410,2024 Projects,Ascent,6,0,0,,,,0.0,0.0,0,0,0,0.17
1206594949252410,2024 Projects,Inclusivity,4,2,0,2024-05-13T18:12:44.452000+00:00,2024-05-13T18:19:42.475000+00:00,0,0.0,0.0,0,0,0,0.25
1206594949252410,2024 Projects,Radio Systems,6,0,0,,,,0.0,0.0,0,0,0,0.17
1206594949252410,2024 Projects,Sprints,9,0,0,,,,0.0,0.0,0,0,0,0.11
1206594949252410,2024 Projects,Untitled section,13,3,0,2024-05-13T18:24:10.935000+00:00,2024-06-27T19:23:56.063000+00:00,45,0.0,0.0,0,0,0,0.08
1209116404156395,3D Environments Asset Spreadsheet,Untitled section,26,26,0,2025-08-18T14:04:27.881000+00:00,2025-09-22T13:34:18.896000+00:00,35,0.0,0.0,0,0,0,0.04
1208878713359040,3D Environments Summer Online,Analysis,7,7,1,2025-01-19T20:10:16.883000+00:00,2025-02-04T13:33:26.111000+00:00,16,0.0,0.0,0,0,0,0.14
1208878713359040,3D Environments Summer Online,Design,15,0,2,,,,0.0,0.0,25,0,0,0.07
1208878713359040,3D Environments Summer Online,Launch / Post-Launch,5,4,2,2025-07-30T11:26:40.945000+00:00,2026-01-02T20:00:24.156000+00:00,156,0.0,0.0,0,0,0,0.2
1208878713359040,3D Environments Summer Online,PM Time Tracking,45,45,1,2025-02-04T13:34:32.279000+00:00,2025-12-04T13:17:01.240000+00:00,303,1825.0,30.42,0,0,0,0.02
1208878713359040,3D Environments Summer Online,Post-Production / Design Development,29,6,3,2025-09-04T13:32:09.893000+00:00,2025-11-10T13:00:41.859000+00:00,67,0.0,0.0,3,0,0,0.03
1208878713359040,3D Environments Summer Online,Pre-Production,4,3,1,2025-01-24T17:48:39.442000+00:00,2025-09-11T13:29:27.866000+00:00,230,285.0,4.75,0,0,0,0.25
1208878713359040,3D Environments Summer Online,Production,1,1,1,2025-08-04T14:16:39.467000+00:00,2025-08-04T14:16:39.467000+00:00,0,0.0,0.0,0,0,0,1.0
1205095744696654,ACE Ascent Phase II,Design Leadership II,5,5,0,2023-07-19T19:39:09.228000+00:00,2023-12-19T18:44:08.628000+00:00,153,0.0,0.0,7,0,0,0.2
1205095744696654,ACE Ascent Phase II,Design Ratio and Proportion,7,7,1,2023-07-19T19:39:09.667000+00:00,2023-12-19T18:43:59.686000+00:00,153,0.0,0.0,9,0,0,0.14
1205095744696654,ACE Ascent Phase II,Post-Production Leadership II,4,4,0,2023-11-17T17:56:48.999000+00:00,2023-12-14T18:51:06.206000+00:00,27,0.0,0.0,6,0,0,0.25
1205095744696654,ACE Ascent Phase II,Post-Production Ratio and Proportion,4,4,0,2023-10-19T15:43:30.639000+00:00,2024-08-16T14:35:32.176000+00:00,302,0.0,0.0,6,0,0,0.25
1205095744696654,ACE Ascent Phase II,Pre-Production Leadership II,4,4,0,2023-10-18T19:52:40.693000+00:00,2023-10-19T16:06:05.876000+00:00,1,0.0,0.0,0,0,0,0.25
1205095744696654,ACE Ascent Phase II,Pre-Production Ratio and Proportion,4,4,0,2023-10-19T15:28:11.221000+00:00,2023-10-19T15:30:15.642000+00:00,0,0.0,0.0,0,0,0,0.25
1205095744696654,ACE Ascent Phase II,Production Leadership II,2,2,0,2023-10-18T19:52:45.689000+00:00,2023-10-18T19:52:46.322000+00:00,0,0.0,0.0,0,0,0,0.5
1205095744696654,ACE Ascent Phase II,Production Ratio and Proportion,2,2,0,2023-10-19T15:39:16.965000+00:00,2023-10-19T15:39:18.599000+00:00,0,0.0,0.0,0,0,0,0.5
1207338575319394,ACE Ascent Phase III,Animation Leadership IIIa,4,4,2,2024-05-16T17:30:27.182000+00:00,2024-07-15T14:15:35.986000+00:00,60,0.0,0.0,8,0,0,0.25
