project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1207760971753716,FCTA - Physics I,False,2024-07-11T01:41:11.168Z,,,Michael Lerma,ODL Team,23,2025-08-24T21:31:59.570000+00:00,2026-01-07T20:46:07.377000+00:00,136,,Design,In Progress,Brianna Stines,,,4d 9h,Signature Project,June 2024 - Dec 2024,,New Course Design,Yes,Jenna Smith,XL,,,"Kuangchen Hsu, Brianna Stines, Michael Lerma, Kevin DeCloedt, Colin Gallagher",,,,Science,,Complete,,,,,,,,,,Outdated,,,Science,,,,,,,,,,,,,,,,,
1207760971753758,Consultations,False,2024-07-11T01:53:10.395Z,,,Michael Lerma,ODL Team,12,2024-07-15T14:30:48.921000+00:00,2024-09-18T18:49:19.757000+00:00,65,,,In Progress,Kuangchen Hsu,,,,Consultation,June 2024 - Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207778717570958,Standard Project Template,False,2024-07-10T14:42:22.237Z,,,Salonee Seecharan,ODL Team,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207816481565083,Gen Chem Intro Video ,False,2024-07-15T18:33:57.263Z,2024-07-15,2024-08-28,Sonia Howell,ODL Team,10,2024-08-07T18:33:19.789000+00:00,2024-08-21T15:57:16.345000+00:00,14,44,Evaluation,Complete!,John Corba,,,13h 30m,Media Only,June 2024 - Dec 2024,No report produced,Media Creation,No,Susan Del Valle,XS,XS,,John Corba,,,,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207833209424691,Military Testimonial,False,2024-07-17T13:23:00.098Z,,,Matthew Simmons,ODL Team,9,2024-07-29T15:13:07.706000+00:00,2024-10-14T13:36:18.173000+00:00,77,,Evaluation,Complete!,Matthew Simmons,,,,Media Only,June 2024 - Dec 2024,Report Created,Media Creation,No,,S,M,,Matthew Simmons,5.0,5.0,5.0,Office of Military and Veteran Affairs,,,,,,,,,,,,,,,,5.0,2.0,1.0,,,,,,,,,,,,,,
1207868904625413,ODL Project Reflection Report,False,2024-07-22T15:37:41.568Z,2024-07-01,2025-06-30,Kuangchen Hsu,ODL Team,18,2024-07-26T14:12:45.200000+00:00,2024-08-23T16:16:47.359000+00:00,28,364,Intake,In Progress,"Kuangchen Hsu, Sonia Howell",,,,Special Project,June 2024 - Dec 2024,,Special Project / Internal NDL Project,No,Internal,S,S,,"Michael Lerma, Lawrence Greenspun",,,,ND Learning,,In Progress,,,,,,,,,,,,,ND Learning,,,,,,,,,,,,,,,,,
1207871566050072,NDL Project Tracking & Awareness,False,2024-07-22T18:13:49.088Z,,,Michael Lerma,NDL Leadership,41,2025-08-06T15:26:19.092000+00:00,2026-06-18T18:49:22.207000+00:00,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207872746390731,Test 5,False,2024-07-22T20:34:36.310Z,2024-07-22,2024-09-04,,ODL Team,4,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207891182693067,Signature Project,False,2024-07-25T15:15:11.467Z,,,Michael Lerma,ODL Team,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207906802350226,FA Faculty Workshop Series,False,2024-07-26T14:22:47.025Z,2024-07-22,2024-12-13,Kuangchen Hsu,ODL Team,8,2024-08-02T17:17:19.626000+00:00,2024-11-08T17:46:59.818000+00:00,98,144,Design,In Progress,"Kuangchen Hsu, Brianna Stines, Yi Lu",,2024-12-13T00:00:00.000Z,,Consultation,June 2024 - Dec 2024,No report produced,Special Project / Internal NDL Project,No,n/a,S,,,"Yi Lu, Kuangchen Hsu, Brianna Stines",,,,ND Learning,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
